Ingredient,DF,Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Key,Patent_No,Patent_Expire_Date_Text,Patent_Drug_Substance_Flag,Patent_Drug_Product_Flag,Patent_Use_Code,Patent_Delist_Flag,Patent_Submission_Date,Exclusivity_Code,Exclusivity_Date
AMPICILLIN SODIUM,INJECTABLE,INJECTION,AMPICILLIN SODIUM,MYLAN LABS LTD,EQ 250MG BASE/VIAL,A,201025,1,AP,4/9/2014,No,No,RX,MYLAN LABORATORIES LTD,201025-1,,,,,,,,,
AMPICILLIN SODIUM,INJECTABLE,INJECTION,AMPICILLIN SODIUM,MYLAN LABS LTD,EQ 500MG BASE/VIAL,A,201025,2,AP,4/9/2014,No,No,RX,MYLAN LABORATORIES LTD,201025-2,,,,,,,,,
ARGATROBAN,INJECTABLE,INJECTION,ARGATROBAN,MYLAN INSTITUTIONAL,250MG/2.5ML (100MG/ML),A,202626,1,AP,6/30/2014,No,No,RX,MYLAN INSTITUTIONAL LLC,202626-1,,,,,,,,,
ATRACURIUM BESYLATE,INJECTABLE,INJECTION,ATRACURIUM BESYLATE,MYLAN LABS LTD,10MG/ML,A,206096,1,AP,6/22/2017,No,No,RX,MYLAN LABORATORIES LTD,206096-1,,,,,,,,,
ATRACURIUM BESYLATE,INJECTABLE,INJECTION,ATRACURIUM BESYLATE PRESERVATIVE FREE,MYLAN LABS LTD,10MG/ML,A,206001,1,AP,4/7/2017,No,No,RX,MYLAN LABORATORIES LTD,206001-1,,,,,,,,,
AZITHROMYCIN,INJECTABLE,INJECTION,AZITHROMYCIN,MYLAN ASI,EQ 500MG BASE/VIAL,A,65506,1,AP,3/24/2009,No,No,RX,MYLAN ASI LLC,65506-1,,,,,,,,,
AZITHROMYCIN,INJECTABLE,INJECTION,AZITHROMYCIN,MYLAN LABS LTD,EQ 500MG BASE/VIAL,A,204732,1,AP,1/26/2017,No,No,RX,MYLAN LABORATORIES LTD,204732-1,,,,,,,,,
BACITRACIN,INJECTABLE,INJECTION,BACITRACIN,MYLAN ASI,"50,000 UNITS/VIAL",A,90211,1,,5/11/2010,No,No,DISCN,MYLAN ASI LLC,90211-1,,,,,,,,,
BUPIVACAINE HYDROCHLORIDE,INJECTABLE,INJECTION,BUPIVACAINE HYDROCHLORIDE,MYLAN ASI,0.25%,A,91503,1,AP,10/18/2011,No,No,RX,MYLAN ASI LLC,91503-1,,,,,,,,,
BUPIVACAINE HYDROCHLORIDE,INJECTABLE,INJECTION,BUPIVACAINE HYDROCHLORIDE,MYLAN ASI,0.50%,A,91503,2,AP,10/18/2011,No,No,RX,MYLAN ASI LLC,91503-2,,,,,,,,,
BUPIVACAINE HYDROCHLORIDE,INJECTABLE,INJECTION,BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE,MYLAN ASI,0.25%,A,91487,2,AP,10/18/2011,No,No,RX,MYLAN ASI LLC,91487-2,,,,,,,,,
BUPIVACAINE HYDROCHLORIDE,INJECTABLE,INJECTION,BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE,MYLAN ASI,0.50%,A,91487,1,AP,10/18/2011,No,No,RX,MYLAN ASI LLC,91487-1,,,,,,,,,
BUPIVACAINE HYDROCHLORIDE,INJECTABLE,INJECTION,BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE,MYLAN ASI,0.75%,A,91487,3,AP,10/18/2011,No,No,RX,MYLAN ASI LLC,91487-3,,,,,,,,,
BUSULFAN,INJECTABLE,INJECTION,BUSULFAN,MYLAN LABS LTD,6MG/ML,A,205184,1,AP,7/13/2018,No,No,RX,MYLAN LABORATORIES LTD,205184-1,,,,,,,,,
CAPREOMYCIN SULFATE,INJECTABLE,INJECTION,CAPREOMYCIN SULFATE,MYLAN LABS LTD,EQ 1GM BASE/VIAL,A,202634,1,AP,11/27/2017,No,No,RX,MYLAN LABORATORIES LTD,202634-1,,,,,,,,,
CARBOPLATIN,INJECTABLE,INJECTION,CARBOPLATIN,MYLAN LABS LTD,50MG/VIAL,A,91510,1,,5/29/2012,No,No,DISCN,MYLAN LABORATORIES LTD,91510-1,,,,,,,,,
CARBOPLATIN,INJECTABLE,INJECTION,CARBOPLATIN,MYLAN LABS LTD,150MG/VIAL,A,91510,2,,5/29/2012,No,No,DISCN,MYLAN LABORATORIES LTD,91510-2,,,,,,,,,
CARBOPLATIN,INJECTABLE,INJECTION,CARBOPLATIN,MYLAN LABS LTD,450MG/VIAL,A,91510,3,,5/29/2012,No,No,DISCN,MYLAN LABORATORIES LTD,91510-3,,,,,,,,,
CHLOROTHIAZIDE SODIUM,INJECTABLE,INJECTION,CHLOROTHIAZIDE SODIUM,MYLAN INSTITUTIONAL,EQ 500MG BASE/VIAL,A,202493,1,AP,6/18/2014,No,No,RX,MYLAN INSTITUTIONAL LLC,202493-1,,,,,,,,,
CIDOFOVIR,INJECTABLE,INJECTION,CIDOFOVIR,MYLAN INSTITUTIONAL,EQ 75MG BASE/ML,A,201276,1,AP,6/27/2012,No,Yes,RX,MYLAN INSTITUTIONAL LLC,201276-1,,,,,,,,,
CISPLATIN,INJECTABLE,INJECTION,CISPLATIN,MYLAN LABS LTD,1MG/ML,A,91062,1,AP,4/18/2012,No,No,RX,MYLAN LABORATORIES LTD,91062-1,,,,,,,,,
CLADRIBINE,INJECTABLE,INJECTION,CLADRIBINE,MYLAN LABS LTD,1MG/ML,A,200510,1,AP,10/6/2011,No,No,RX,MYLAN LABORATORIES LTD,200510-1,,,,,,,,,
CLINDAMYCIN PHOSPHATE,INJECTABLE,INJECTION,CLINDAMYCIN PHOSPHATE,MYLAN LABS LTD,EQ 150MG BASE/ML,A,204748,1,AP,10/10/2017,No,No,RX,MYLAN LABORATORIES LTD,204748-1,,,,,,,,,
CLINDAMYCIN PHOSPHATE,INJECTABLE,INJECTION,CLINDAMYCIN PHOSPHATE,MYLAN LABS LTD,EQ 150MG BASE/ML,A,204749,1,AP,10/10/2017,No,No,RX,MYLAN LABORATORIES LTD,204749-1,,,,,,,,,
COSYNTROPIN,INJECTABLE,INJECTION,COSYNTROPIN,MYLAN INSTITUTIONAL,0.25MG/VIAL,A,90574,1,AP,12/17/2009,No,No,RX,MYLAN INSTITUTIONAL LLC,90574-1,,,,,,,,,
CYANOCOBALAMIN,INJECTABLE,INJECTION,CYANOCOBALAMIN,MYLAN INSTITUTIONAL,1MG/ML,A,40451,1,,9/23/2003,No,No,DISCN,MYLAN INSTITUTIONAL LLC,40451-1,,,,,,,,,
CYANOCOBALAMIN,INJECTABLE,INJECTION,CYANOCOBALAMIN,MYLAN LABS LTD,1MG/ML,A,204829,1,AP,6/5/2017,No,No,RX,MYLAN LABORATORIES LTD,204829-1,,,,,,,,,
CYTARABINE,INJECTABLE,INJECTION,CYTARABINE,MYLAN LABS LTD,20MG/ML,A,200914,1,AP,12/13/2011,No,No,RX,MYLAN LABORATORIES LTD,200914-1,,,,,,,,,
CYTARABINE,INJECTABLE,INJECTION,CYTARABINE,MYLAN LABS LTD,20MG/ML,A,200915,1,AP,12/13/2011,No,No,RX,MYLAN LABORATORIES LTD,200915-1,,,,,,,,,
CYTARABINE,INJECTABLE,INJECTION,CYTARABINE,MYLAN LABS LTD,20MG/ML,A,200916,1,AP,12/13/2011,No,No,RX,MYLAN LABORATORIES LTD,200916-1,,,,,,,,,
CYTARABINE,INJECTABLE,INJECTION,CYTARABINE,MYLAN LABS LTD,100MG/ML,A,201784,1,AP,1/30/2012,No,No,RX,MYLAN LABORATORIES LTD,201784-1,,,,,,,,,
DACTINOMYCIN,INJECTABLE,INJECTION,DACTINOMYCIN,MYLAN LABS LTD,0.5MG/VIAL,A,203385,1,AP,11/9/2017,No,No,RX,MYLAN LABORATORIES LTD,203385-1,,,,,,,,,
DANTROLENE SODIUM,INJECTABLE,INJECTION,DANTROLENE SODIUM,MYLAN INSTITUTIONAL,20MG/VIAL,A,205239,1,AP,2/18/2016,No,No,RX,MYLAN INSTITUTIONAL LLC,205239-1,,,,,,,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,DEXAMETHASONE SODIUM PHOSPHATE,MYLAN LABS LTD,EQ 4MG PHOSPHATE/ML,A,40803,1,AP,8/29/2008,No,No,RX,MYLAN LABORATORIES LTD,40803-1,,,,,,,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,DEXAMETHASONE SODIUM PHOSPHATE,MYLAN LABS LTD,EQ 10MG PHOSPHATE/ML,A,40802,1,AP,8/29/2008,No,No,RX,MYLAN LABORATORIES LTD,40802-1,,,,,,,,,
DEXMEDETOMIDINE HYDROCHLORIDE,INJECTABLE,INJECTION,DEXMEDETOMIDINE HYDROCHLORIDE,MYLAN INSTITUTIONAL,EQ 200MCG BASE/2ML (EQ 100MCG BASE/ML),A,202881,1,AP,8/18/2014,No,No,RX,MYLAN INSTITUTIONAL LLC,202881-1,,,,,,,,,
DEXRAZOXANE HYDROCHLORIDE,INJECTABLE,INJECTION,DEXRAZOXANE HYDROCHLORIDE,MYLAN INSTITUTIONAL,EQ 250MG BASE/VIAL,A,200752,1,AP,10/19/2011,No,No,RX,MYLAN INSTITUTIONAL LLC,200752-1,,,,,,,,,
DEXRAZOXANE HYDROCHLORIDE,INJECTABLE,INJECTION,DEXRAZOXANE HYDROCHLORIDE,MYLAN INSTITUTIONAL,EQ 500MG BASE/VIAL,A,200752,2,AP,10/19/2011,No,No,RX,MYLAN INSTITUTIONAL LLC,200752-2,,,,,,,,,
DILTIAZEM HYDROCHLORIDE,INJECTABLE,INJECTION,DILTIAZEM HYDROCHLORIDE,MYLAN LABS LTD,5MG/ML,A,75375,1,,9/30/1999,No,No,DISCN,MYLAN LABORATORIES LTD,75375-1,,,,,,,,,
DIPHENHYDRAMINE HYDROCHLORIDE,INJECTABLE,INJECTION,DIPHENHYDRAMINE HYDROCHLORIDE,MYLAN INSTITUTIONAL,50MG/ML,A,40498,1,AP,7/12/2005,No,No,RX,MYLAN INSTITUTIONAL LLC,40498-1,,,,,,,,,
DIPYRIDAMOLE,INJECTABLE,INJECTION,DIPYRIDAMOLE,MYLAN LABS LTD,5MG/ML,A,75769,1,,11/27/2002,No,No,DISCN,MYLAN LABORATORIES LTD,75769-1,,,,,,,,,
DOCETAXEL,INJECTABLE,INJECTION,DOCETAXEL,MYLAN LABS LTD,20MG/2ML (10MG/ML),A,210072,1,AP,7/2/2018,No,No,RX,MYLAN LABORATORIES LTD,210072-1,,,,,,,,,
DOCETAXEL,INJECTABLE,INJECTION,DOCETAXEL,MYLAN LABS LTD,80MG/8ML (10MG/ML),A,210848,1,AP,7/6/2018,No,No,RX,MYLAN LABORATORIES LTD,210848-1,,,,,,,,,
DOCETAXEL ,INJECTABLE,INJECTION,DOCETAXEL,MYLAN LABS LTD,160MG/16ML (10MG/ML),A,208859,1,AP,4/30/2018,No,No,RX,MYLAN LABORATORIES LTD,208859-1,,,,,,,,,
DOXORUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,DOXORUBICIN HYDROCHLORIDE,MYLAN LABS LTD,2MG/ML,A,200901,1,AP,2/14/2012,No,No,RX,MYLAN LABORATORIES LTD,200901-1,,,,,,,,,
DOXORUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,DOXORUBICIN HYDROCHLORIDE,MYLAN LABS LTD,10MG/VIAL,A,200170,1,AP,10/28/2011,No,No,RX,MYLAN LABORATORIES LTD,200170-1,,,,,,,,,
DOXORUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,DOXORUBICIN HYDROCHLORIDE,MYLAN LABS LTD,50MG/VIAL,A,200170,2,AP,10/28/2011,No,No,RX,MYLAN LABORATORIES LTD,200170-2,,,,,,,,,
DOXYCYCLINE HYCLATE,INJECTABLE,INJECTION,DOXYCYCLINE,MYLAN LABS LTD,EQ 100MG BASE/VIAL,A,91406,1,AP,8/21/2012,No,No,RX,MYLAN LABORATORIES LTD,91406-1,,,,,,,,,
CLONIDINE HYDROCHLORIDE,INJECTABLE,INJECTION,DURACLON,MYLAN INSTITUTIONAL,1MG/10ML (0.1MG/ML),N,20615,1,AP,10/2/1996,Yes,No,RX,MYLAN INSTITUTIONAL LLC,20615-1,,,,,,,,,
CLONIDINE HYDROCHLORIDE,INJECTABLE,INJECTION,DURACLON,MYLAN INSTITUTIONAL,5MG/10ML (0.5MG/ML),N,20615,2,AP,4/27/1999,Yes,Yes,RX,MYLAN INSTITUTIONAL LLC,20615-2,,,,,,,,,
EDROPHONIUM CHLORIDE,INJECTABLE,INJECTION,ENLON,MYLAN INSTITUTIONAL,10MG/ML,A,88873,1,,8/6/1985,No,Yes,RX,MYLAN INSTITUTIONAL LLC,88873-1,,,,,,,,,
ATROPINE SULFATE; EDROPHONIUM CHLORIDE,INJECTABLE,INJECTION,ENLON-PLUS,MYLAN INSTITUTIONAL,0.14MG/ML;10MG/ML,N,19677,1,,11/6/1991,No,No,DISCN,MYLAN INSTITUTIONAL LLC,19677-1,,,,,,,,,
ATROPINE SULFATE; EDROPHONIUM CHLORIDE,INJECTABLE,INJECTION,ENLON-PLUS,MYLAN INSTITUTIONAL,0.14MG/ML;10MG/ML,N,19678,1,,11/6/1991,Yes,No,DISCN,MYLAN INSTITUTIONAL LLC,19678-1,,,,,,,,,
EPIRUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,EPIRUBICIN HYDROCHLORIDE,MYLAN INSTITUTIONAL,50MG/25ML (2MG/ML),A,65371,1,,11/28/2007,No,No,DISCN,MYLAN INSTITUTIONAL LLC,65371-1,,,,,,,,,
EPIRUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,EPIRUBICIN HYDROCHLORIDE,MYLAN INSTITUTIONAL,200MG/100ML (2MG/ML),A,65371,2,,11/28/2007,No,No,DISCN,MYLAN INSTITUTIONAL LLC,65371-2,,,,,,,,,
EPIRUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,EPIRUBICIN HYDROCHLORIDE,MYLAN LABS LTD,50MG/25ML (2MG/ML),A,91599,1,AP,3/12/2012,No,No,RX,MYLAN LABORATORIES LTD,91599-1,,,,,,,,,
EPIRUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,EPIRUBICIN HYDROCHLORIDE,MYLAN LABS LTD,200MG/100ML (2MG/ML),A,91599,2,AP,3/12/2012,No,No,RX,MYLAN LABORATORIES LTD,91599-2,,,,,,,,,
EPTIFIBATIDE,INJECTABLE,INJECTION,EPTIFIBATIDE,MYLAN LABS LTD,2MG/ML,A,203258,1,AP,7/20/2018,No,No,RX,MYLAN LABORATORIES LTD,203258-1,,,,,,,,,
EPTIFIBATIDE,INJECTABLE,INJECTION,EPTIFIBATIDE,MYLAN LABS LTD,75MG/100ML,A,203258,2,AP,7/20/2018,No,No,RX,MYLAN LABORATORIES LTD,203258-2,,,,,,,,,
ESMOLOL HYDROCHLORIDE,INJECTABLE,INJECTION,ESMOLOL HYDROCHLORIDE,MYLAN INSTITUTIONAL,10MG/ML,A,76474,1,AP,5/2/2005,No,No,RX,MYLAN INSTITUTIONAL LLC,76474-1,,,,,,,,,
ESMOLOL HYDROCHLORIDE,INJECTABLE,INJECTION,ESMOLOL HYDROCHLORIDE,MYLAN LABS LTD,10MG/ML,A,206608,1,AP,6/8/2018,No,No,RX,MYLAN LABORATORIES LTD,206608-1,,,,,,,,,
ESMOLOL HYDROCHLORIDE,INJECTABLE,INJECTION,ESMOLOL HYDROCHLORIDE,MYLAN LABS LTD,20MG/ML,A,206608,2,AP,6/8/2018,No,No,RX,MYLAN LABORATORIES LTD,206608-2,,,,,,,,,
ETHACRYNATE SODIUM,INJECTABLE,INJECTION,ETHACRYNATE SODIUM,MYLAN INSTITUTIONAL,EQ 50MG BASE/VIAL,A,204634,1,AP,8/23/2016,No,No,RX,MYLAN INSTITUTIONAL LLC,204634-1,,,,,,,,,
ETOMIDATE,INJECTABLE,INJECTION,ETOMIDATE,MYLAN LABS LTD,2MG/ML,A,78289,1,AP,1/2/2009,No,No,RX,MYLAN LABORATORIES LTD,78289-1,,,,,,,,,
ETOMIDATE,INJECTABLE,INJECTION,ETOMIDATE,MYLAN LABS LTD,2MG/ML,A,201044,1,AP,2/7/2017,No,No,RX,MYLAN LABORATORIES LTD,201044-1,,,,,,,,,
ETOPOSIDE,INJECTABLE,INJECTION,ETOPOSIDE,MYLAN LABS LTD,20MG/ML,A,203507,1,AP,11/20/2017,No,No,RX,MYLAN LABORATORIES LTD,203507-1,,,,,,,,,
ETOPOSIDE,INJECTABLE,INJECTION,ETOPOSIDE,MYLAN LABS LTD,20MG/ML,A,204927,1,AP,10/31/2017,No,No,RX,MYLAN LABORATORIES LTD,204927-1,,,,,,,,,
FAMOTIDINE,INJECTABLE,INJECTION,FAMOTIDINE,MYLAN LABS LTD,10MG/ML,A,78641,1,AP,6/25/2008,No,No,RX,MYLAN LABORATORIES LTD,78641-1,,,,,,,,,
FAMOTIDINE,INJECTABLE,INJECTION,FAMOTIDINE PRESERVATIVE FREE,MYLAN LABS LTD,10MG/ML,A,78642,1,AP,6/25/2008,No,No,RX,MYLAN LABORATORIES LTD,78642-1,,,,,,,,,
FLUCONAZOLE,INJECTABLE,INJECTION,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,MYLAN LABS LTD,200MG/100ML (2MG/ML),A,76888,1,,3/25/2005,No,No,DISCN,MYLAN LABORATORIES LTD,76888-1,,,,,,,,,
FLUCONAZOLE,INJECTABLE,INJECTION,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,MYLAN LABS LTD,400MG/200ML (2MG/ML),A,76888,2,,3/25/2005,No,No,DISCN,MYLAN LABORATORIES LTD,76888-2,,,,,,,,,
FLUCONAZOLE,INJECTABLE,INJECTION,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,MYLAN LABS LTD,200MG/100ML (2MG/ML),A,76889,1,,3/25/2005,No,No,DISCN,MYLAN LABORATORIES LTD,76889-1,,,,,,,,,
FLUCONAZOLE,INJECTABLE,INJECTION,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,MYLAN LABS LTD,400MG/200ML (2MG/ML),A,76889,2,,3/25/2005,No,No,DISCN,MYLAN LABORATORIES LTD,76889-2,,,,,,,,,
FLUDARABINE PHOSPHATE,INJECTABLE,INJECTION,FLUDARABINE PHOSPHATE,MYLAN LABS LTD,50MG/2ML (25MG/ML),A,200647,1,AP,12/21/2011,No,No,RX,MYLAN LABORATORIES LTD,200647-1,,,,,,,,,
FLUDARABINE PHOSPHATE,INJECTABLE,INJECTION,FLUDARABINE PHOSPHATE,MYLAN LABS LTD,50MG/VIAL,A,200648,1,AP,10/16/2012,No,No,RX,MYLAN LABORATORIES LTD,200648-1,,,,,,,,,
FLUMAZENIL,INJECTABLE,INJECTION,FLUMAZENIL,MYLAN LABS LTD,0.5MG/5ML (0.1MG/ML),A,78595,1,AP,5/13/2008,No,No,RX,MYLAN LABORATORIES LTD,78595-1,,,,,,,,,
FLUMAZENIL,INJECTABLE,INJECTION,FLUMAZENIL,MYLAN LABS LTD,1MG/10ML (0.1MG/ML),A,78595,2,AP,5/13/2008,No,Yes,RX,MYLAN LABORATORIES LTD,78595-2,,,,,,,,,
FLUOROURACIL,INJECTABLE,INJECTION,FLUOROURACIL,MYLAN LABS LTD,1GM/20ML (50MG/ML),A,202668,2,AP,7/17/2012,No,No,RX,MYLAN LABORATORIES LTD,202668-2,,,,,,,,,
FLUOROURACIL,INJECTABLE,INJECTION,FLUOROURACIL,MYLAN LABS LTD,2.5GM/50ML (50MG/ML),A,202669,1,AP,7/17/2012,No,No,RX,MYLAN LABORATORIES LTD,202669-1,,,,,,,,,
FLUOROURACIL,INJECTABLE,INJECTION,FLUOROURACIL,MYLAN LABS LTD,5GM/100ML (50MG/ML),A,202669,2,AP,7/17/2012,No,No,RX,MYLAN LABORATORIES LTD,202669-2,,,,,,,,,
FLUOROURACIL,INJECTABLE,INJECTION,FLUOROURACIL,MYLAN LABS LTD,500MG/10ML (50MG/ML),A,202668,1,AP,7/17/2012,No,No,RX,MYLAN LABORATORIES LTD,202668-1,,,,,,,,,
FLUPHENAZINE DECANOATE,INJECTABLE,INJECTION,FLUPHENAZINE DECANOATE,MYLAN LABS LTD,25MG/ML,A,75918,1,AO,8/17/2001,No,No,RX,MYLAN LABORATORIES LTD,75918-1,,,,,,,,,
FOMEPIZOLE,INJECTABLE,INJECTION,FOMEPIZOLE,MYLAN INSTITUTIONAL,1.5GM/1.5ML (1GM/ML),A,79033,1,,4/7/2009,No,No,DISCN,MYLAN INSTITUTIONAL LLC,79033-1,,,,,,,,,
FOMEPIZOLE,INJECTABLE,INJECTION,FOMEPIZOLE,MYLAN INSTITUTIONAL,1.5GM/1.5ML (1GM/ML),A,78639,1,AP,3/3/2008,No,No,RX,MYLAN INSTITUTIONAL LLC,78639-1,,,,,,,,,
FOSPHENYTOIN SODIUM,INJECTABLE,INJECTION,FOSPHENYTOIN SODIUM,MYLAN LABS LTD,EQ 50MG PHENYTOIN NA/ML,A,78736,1,AP,6/8/2010,No,No,RX,MYLAN LABORATORIES LTD,78736-1,,,,,,,,,
GANCICLOVIR SODIUM,INJECTABLE,INJECTION,GANCICLOVIR,MYLAN LABS LTD,EQ 500MG BASE/VIAL,A,204560,1,AP,11/17/2017,No,No,RX,MYLAN LABORATORIES LTD,204560-1,,,,,,,,,
GEMCITABINE HYDROCHLORIDE,INJECTABLE,INJECTION,GEMCITABINE HYDROCHLORIDE,MYLAN LABS LTD,EQ 1GM BASE/VIAL,A,200145,2,AP,7/25/2011,No,No,RX,MYLAN LABORATORIES LTD,200145-2,,,,,,,,,
GEMCITABINE HYDROCHLORIDE,INJECTABLE,INJECTION,GEMCITABINE HYDROCHLORIDE,MYLAN LABS LTD,1GM/26.3ML (38MG/ML),A,205242,2,AP,12/6/2017,No,No,RX,MYLAN LABORATORIES LTD,205242-2,,,,,,,,,
GEMCITABINE HYDROCHLORIDE,INJECTABLE,INJECTION,GEMCITABINE HYDROCHLORIDE,MYLAN LABS LTD,EQ 2GM BASE/VIAL,A,200145,3,AP,7/25/2011,No,No,RX,MYLAN LABORATORIES LTD,200145-3,,,,,,,,,
GEMCITABINE HYDROCHLORIDE,INJECTABLE,INJECTION,GEMCITABINE HYDROCHLORIDE,MYLAN LABS LTD,2GM/52.6ML (38MG/ML),A,205242,3,AP,12/6/2017,No,No,RX,MYLAN LABORATORIES LTD,205242-3,,,,,,,,,
GEMCITABINE HYDROCHLORIDE,INJECTABLE,INJECTION,GEMCITABINE HYDROCHLORIDE,MYLAN LABS LTD,EQ 200MG BASE/VIAL,A,200145,1,AP,7/25/2011,No,No,RX,MYLAN LABORATORIES LTD,200145-1,,,,,,,,,
GEMCITABINE HYDROCHLORIDE,INJECTABLE,INJECTION,GEMCITABINE HYDROCHLORIDE,MYLAN LABS LTD,200MG/5.26ML (38MG/ML),A,205242,1,AP,12/6/2017,No,No,RX,MYLAN LABORATORIES LTD,205242-1,,,,,,,,,
GRANISETRON HYDROCHLORIDE,INJECTABLE,INJECTION,GRANISETRON HYDROCHLORIDE,MYLAN ASI,EQ 0.1MG BASE/ML (EQ 0.1MG BASE/ML),A,91136,1,AP,4/9/2010,No,No,RX,MYLAN ASI LLC,91136-1,,,,,,,,,
GRANISETRON HYDROCHLORIDE,INJECTABLE,INJECTION,GRANISETRON HYDROCHLORIDE,MYLAN ASI,EQ 1MG BASE/ML (EQ 1MG BASE/ML),A,91136,2,AP,4/9/2010,No,No,RX,MYLAN ASI LLC,91136-2,,,,,,,,,
GRANISETRON HYDROCHLORIDE,INJECTABLE,INJECTION,GRANISETRON HYDROCHLORIDE,MYLAN ASI,EQ 4MG BASE/4ML (EQ 1MG BASE/ML),A,91137,2,AP,4/9/2010,No,No,RX,MYLAN ASI LLC,91137-2,,,,,,,,,
GRANISETRON HYDROCHLORIDE,INJECTABLE,INJECTION,GRANISETRON HYDROCHLORIDE,MYLAN LABS LTD,EQ 0.1MG BASE/ML (EQ 0.1MG BASE/ML),A,203454,1,AP,4/4/2017,No,No,RX,MYLAN LABORATORIES LTD,203454-1,,,,,,,,,
GRANISETRON HYDROCHLORIDE,INJECTABLE,INJECTION,GRANISETRON HYDROCHLORIDE,MYLAN LABS LTD,EQ 1MG BASE/ML (EQ 1MG BASE/ML),A,203454,2,AP,4/4/2017,No,No,RX,MYLAN LABORATORIES LTD,203454-2,,,,,,,,,
GRANISETRON HYDROCHLORIDE,INJECTABLE,INJECTION,GRANISETRON HYDROCHLORIDE,MYLAN LABS LTD,EQ 4MG BASE/4ML (EQ 1MG BASE/ML),A,203453,1,AP,1/31/2017,No,No,RX,MYLAN LABORATORIES LTD,203453-1,,,,,,,,,
HALOPERIDOL LACTATE,INJECTABLE,INJECTION,HALOPERIDOL,MYLAN LABS LTD,EQ 5MG BASE/ML,A,78347,1,AP,9/14/2009,No,No,RX,MYLAN LABORATORIES LTD,78347-1,,,,,,,,,
HALOPERIDOL DECANOATE,INJECTABLE,INJECTION,HALOPERIDOL DECANOATE,MYLAN LABS LTD,EQ 50MG BASE/ML,A,75440,1,AO,2/28/2000,No,No,RX,MYLAN LABORATORIES LTD,75440-1,,,,,,,,,
HALOPERIDOL DECANOATE,INJECTABLE,INJECTION,HALOPERIDOL DECANOATE,MYLAN LABS LTD,EQ 100MG BASE/ML,A,75440,2,AO,2/28/2000,No,No,RX,MYLAN LABORATORIES LTD,75440-2,,,,,,,,,
HEPARIN SODIUM,INJECTABLE,INJECTION,HEPARIN SODIUM,MYLAN LABS LTD,"1,000 UNITS/ML",A,203851,1,AP,11/30/2017,No,No,RX,MYLAN LABORATORIES LTD,203851-1,,,,,,,,,
HEPARIN SODIUM,INJECTABLE,INJECTION,HEPARIN SODIUM,MYLAN LABS LTD,"5,000 UNITS/ML",A,203851,2,AP,11/30/2017,No,No,RX,MYLAN LABORATORIES LTD,203851-2,,,,,,,,,
HEPARIN SODIUM,INJECTABLE,INJECTION,HEPARIN SODIUM,MYLAN LABS LTD,"10,000 UNITS/ML",A,203851,3,AP,11/30/2017,No,No,RX,MYLAN LABORATORIES LTD,203851-3,,,,,,,,,
HEPARIN SODIUM,INJECTABLE,INJECTION,HEPARIN SODIUM,MYLAN LABS LTD,"20,000 UNITS/ML",A,203852,1,AP,11/30/2017,No,No,RX,MYLAN LABORATORIES LTD,203852-1,,,,,,,,,
HYDRALAZINE HYDROCHLORIDE,INJECTABLE,INJECTION,HYDRALAZINE HYDROCHLORIDE,MYLAN INSTITUTIONAL,20MG/ML,A,204680,1,AP,4/28/2016,No,No,RX,MYLAN INSTITUTIONAL LLC,204680-1,,,,,,,,,
IBUTILIDE FUMARATE,INJECTABLE,INJECTION,IBUTILIDE FUMARATE,MYLAN INSTITUTIONAL,0.1MG/ML,A,90643,1,AP,1/11/2010,No,No,RX,MYLAN INSTITUTIONAL LLC,90643-1,,,,,,,,,
IBUTILIDE FUMARATE,INJECTABLE,INJECTION,IBUTILIDE FUMARATE,MYLAN INSTITUTIONAL,0.1MG/ML,A,90924,1,,1/11/2010,No,No,DISCN,MYLAN INSTITUTIONAL LLC,90924-1,,,,,,,,,
IDARUBICIN HYDROCHLORIDE,INJECTABLE,INJECTION,IDARUBICIN HYDROCHLORIDE,MYLAN LABS LTD,1MG/ML,A,200144,1,AP,10/11/2012,No,No,RX,MYLAN LABORATORIES LTD,200144-1,,,,,,,,,
